//City File!!
//You can add new city at the end of this file.
//Be careful,don't change the order of the following cities.
//Or,it will make a fatal error!!
//First,drop table City.
//Then,run addCity.pl to add these cities to Database.
北京,nil
上海,nil
天津,nil
重庆,nil
广州,nil
内蒙古,
内蒙古,呼和浩特市
内蒙古,集宁市
内蒙古,二连浩特市
内蒙古,包头市
内蒙古,临河市
内蒙古,乌海市
内蒙古,东胜市
内蒙古,海拉尔市
内蒙古,满洲里市
内蒙古,牙克石市
内蒙古,赤峰市
内蒙古,锡林浩特市
内蒙古,通辽市
内蒙古,霍林郭勒市
山西,nil
山西省,太原市
山西省,榆次市
山西省,忻州市
山西省,大同市
山西省,临汾市
山西省,侯马市
山西省,运城市
山西省,阳泉市
山西省,长治市
山西省,晋城市
河北,nil
河北省,石家庄市
河北省,南宫市
河北省,辛集市
河北省,衡水市
河北省,邢台市
河北省,沙河市
河北省,邯郸市
河北省,沧州市
河北省,泊头市
河北省,任丘市
河北省,唐山市
河北省,秦皇岛市
河北省,北戴河
河北省,承德市
河北省,保定市
河北省,涿州市
河北省,定州市
河北省,张家口市
辽宁,nil
辽宁省,沈阳市
辽宁省,辽阳市
辽宁省,铁岭市
辽宁省,铁法市
辽宁省,抚顺市
辽宁省,鞍山市
辽宁省,海城市
辽宁省,营口市
辽宁省,大连市
辽宁省,瓦房店市
辽宁省,本溪市
辽宁省,丹东市
辽宁省,锦州市
辽宁省,锦西市
辽宁省,兴城市
辽宁省,朝阳市
辽宁省,北票市
辽宁省,阜新市
辽宁省,盘锦市
吉林,nil
吉林省,长春市
吉林省,扶余市
吉林省,吉林市
吉林省,桦甸市
吉林省,延吉市
吉林省,图门市
吉林省,龙井市
吉林省,敦化市
吉林省,通化市
吉林省,集安市
吉林省,浑江市
吉林省,梅河口市
吉林省,四平市
吉林省,公主岭市
吉林省,辽源市
吉林省,白城市
吉林省,洮南市
吉林省,乌兰浩特市
黑龙江,nil
黑龙江省,哈尔滨市
黑龙江省,阿城市
黑龙江省,肇东市
黑龙江省,绥化市
黑龙江省,伊春市
黑龙江省,佳木斯市
黑龙江省,鹤岗市
黑龙江省,七台河市
黑龙江省,双鸭市
黑龙江省,同江市
黑龙江省,牡丹江市
黑龙江省,绥汾河市
黑龙江省,鸡西市
黑龙江省,齐齐哈尔市
黑龙江省,扎兰屯市
黑龙江省,大庆市
黑龙江省,北安市
黑龙江省,黑河市
黑龙江省,五大连池市
江苏,nil
江苏省,南京市
江苏省,仪征市
江苏省,镇江市
江苏省,丹阳市
江苏省,常州市
江苏省,无锡市
江苏省,宜兴市
江苏省,江阴市
江苏省,苏州市
江苏省,常熟市
江苏省,徐州市
江苏省,连云港市
江苏省,淮阴市
江苏省,淮安市
江苏省,宿迁市
江苏省,盐城市
江苏省,东台市
江苏省,扬州市
江苏省,泰州市
江苏省,兴化市
江苏省,南通市
安徽,nil
安徽省,合肥市
安徽省,淮南市
